pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
Kepler-452 b,1.63,3.29,265.0,1.046,384.843,0.08448,5757.0,G2,1.11,Transit,2015,10.63,0.0,Kepler-452,1,iconic,0.8428452464160584,-1.0209782223454518
Kepler-186 f,1.17,1.71,177.0,0.432,129.9441,-1.26,3755.0,M1,0.523,Transit,2014,5.62,0.04,Kepler-186,5,iconic,0.6581063197521146,3.233610107159967
HD 209458 b,15.58051,232.0159,1459.0,0.04707,3.52474859,0.23086,6091.0,G0 V,1.19,Radial Velocity,1999,3.072,0.0,HD 209458,1,iconic,0.07564295961035075,-5.36698228498459
TRAPPIST-1 b,1.116,1.374,397.6,0.01154,1.510826,-3.25727,2566.0,M8.0 V,0.1192,Transit,2016,0.601,0.00622,TRAPPIST-1,7,iconic,0.769583276938872,-3.2027479580689917
TRAPPIST-1 c,1.097,1.308,339.7,0.0158,2.421937,-3.25727,2566.0,M8.0 V,0.1192,Transit,2016,0.7005,0.00654,TRAPPIST-1,7,iconic,0.8730522826905338,-2.3404101835925557
TRAPPIST-1 d,0.788,0.388,286.2,0.02227,4.049219,-3.25727,2566.0,M8.0 V,0.1192,Transit,2016,0.8145,0.00837,TRAPPIST-1,7,iconic,0.9149238659401339,-1.0307093852680158
TRAPPIST-1 e,0.92,0.692,249.7,0.02925,6.101013,-3.25727,2566.0,M8.0 V,0.1192,Transit,2017,0.9293,0.0051,TRAPPIST-1,7,iconic,0.8708374398142578,0.3822290339445484
TRAPPIST-1 f,1.045,1.039,217.7,0.03849,9.20754,-3.25727,2566.0,M8.0 V,0.1192,Transit,2017,1.048,0.01007,TRAPPIST-1,7,iconic,0.7984659330140909,2.2526518123863957
TRAPPIST-1 g,1.129,1.321,197.3,0.04683,12.352446,-3.25727,2566.0,M8.0 V,0.1192,Transit,2017,1.137,0.00208,TRAPPIST-1,7,iconic,0.728894579840045,3.9408905539670225
TRAPPIST-1 h,0.755,0.326,171.7,0.06189,18.772866,-3.25727,2566.0,M8.0 V,0.1192,Transit,2017,1.269,0.00567,TRAPPIST-1,7,iconic,0.6013320017195785,6.989436770778085
TOI-700 e,0.953,0.818,272.9,0.134,27.80978,-1.64016,3459.0,M2.5 V,0.421,Transit,2023,2.777,0.059,TOI-700,4,high_esi,0.9455286487258667,-1.3235577510359071
TOI-700 d,1.073,1.25,268.8,0.1633,37.42396,-1.64016,3459.0,M2.5 V,0.421,Transit,2020,3.314,0.042,TOI-700,4,high_esi,0.9394628323525481,-0.4018771816242041
Kepler-445 d,1.25,2.1,305.0,0.0439,8.15275,-2.09994,3157.0,M4,0.21,Transit,2015,1.386,0.0,Kepler-445,3,high_esi,0.9126538362034788,-3.194159877822652
Gliese 12 b,0.93,0.95,314.6,0.067,12.761418,-2.13787,3328.0,M4 V,0.265,Transit,2024,1.2,0.24,Gliese 12,1,high_esi,0.9117769056274421,-1.8007236123567965
Kepler-186 e,1.27,2.15,319.0,0.11,22.407704,-1.385,3788.0,M1,0.472,Transit,2014,3.3199,0.0,Kepler-186,5,high_esi,0.8849091100306445,-2.959311769287477
K2-3 d,1.458,2.2,305.2,0.2014,44.55603,-1.23136,3844.0,M V,0.546,Transit,2015,4.17,0.091,K2-3,3,high_esi,0.8701387555865855,-1.58169542265123
