pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,pl_density,interior_esi,surface_esi,habitability_index
GJ 1061 d,1.16,1.67,242.03,0.054,2953.0,0.156,5.898626233550337,0.9603323068864008,0.8628247456581389,0.9102738480460442
GJ 1002 b,1.03,1.08,230.9,0.0457,3024.0,0.137,5.449045770513788,0.9927988220922057,0.7528721370897604,0.8645522372238451
TOI-7166 b,2.01,4.7,249.0,0.06191,3099.0,0.222,3.1909357535690703,0.7540176601579875,0.9353568675019868,0.8398068805663317
Kepler-1544 b,1.78,3.82,269.0,0.54465,4886.0,0.74,3.7343217186518713,0.8122354736440983,0.8597516169048525,0.835655887176649
Proxima Cen d,0.692,0.26,282.0,0.02881,2900.0,0.141,4.325770146479267,0.8817027442662626,0.7498684274928545,0.8131181035735687
GJ 3323 b,1.23,2.02,290.06,0.03282,3159.0,0.119,5.9847278993877415,0.9478224997558058,0.6900527998296946,0.8087320753488597
GJ 273 b,1.51,2.89,292.47,0.091101,3382.0,0.293,4.627808456908761,0.8927571314706728,0.6732726366390289,0.7752863650184724
Kepler-61 b,2.15,5.27,273.0,0.24861,4017.0,0.62,2.923503445217605,0.722221188631967,0.8240324130896854,0.7714490708095387
GJ 682 b,1.93,4.4,281.93,0.08,3028.0,0.298255,3.3743422050752994,0.7742014530785621,0.7504140965111944,0.7622149853746009
Kepler-1704 b,11.94877343,1322.16617312,253.8,2.027,5746.0,1.697,4.272916810948387,0.5462562734284402,0.9869105013509389,0.7342384167798341
HD 16175 b,12.8,1875.1876013,259.78,2.12,5981.0,1.72,4.929730620079587,0.5592946835103297,0.9492764106648369,0.7286461759088644
Ross 508 b,1.83,4.0,293.86,0.05366,3071.0,0.2113,3.598446884909174,0.798554060642323,0.6638133145442019,0.7280733602032916
Kepler-1690 b,2.81109223,8.3,267.0,0.7097,5404.0,0.862346,2.0599713613254935,0.6009603467387151,0.8782945257334096,0.7265123417557786
Kepler-1058 b,2.72,7.85,239.0,0.3679,4644.0,0.69,2.150657827940757,0.615294693782427,0.832168529975882,0.7155619336066464
HD 154391 b,12.5,2892.2385037,253.57,7.46,4909.0,8.56,8.164177512759228,0.5170212920200132,0.9844108137473119,0.713415272335901
Kepler-1389 b,1.77,3.78,300.0,0.38249,5078.0,0.74,3.7582042146591084,0.8147225182375818,0.623859419537666,0.712932196854626
G 261-6 b,1.1,1.37,322.3,0.02971,2907.0,0.153162,5.674804261357669,0.9783900224804826,0.500749923691458,0.6999490903612816
HD 27969 b,12.9,1525.5763536,261.0,1.552,5966.0,1.27,3.918079033744563,0.5212704623260322,0.9368202021412236,0.6988109185513078
Kepler-1450 b,1.71,3.57,308.0,0.2401,4524.0,0.68,3.9363006274661334,0.8318701182859111,0.5759764667193203,0.6921976679386476
HD 169830 c,12.6,2437.42605328,241.03,3.075,6300.0,1.935709,6.717817294304015,0.5477349199268333,0.8526480306252284,0.6833923476161272
HD 13908 c,12.8,1630.4,273.57,2.03,6255.0,1.67,4.28620197648795,0.5369353892240367,0.8190861363836595,0.6631714208612828
Kepler-1816 b,1.9679397,4.53,310.0,0.35647,5051.0,0.706,3.2769605680402045,0.7638679851170006,0.5646914911728169,0.6567722219878778
Kepler-267 d,2.27,5.77,301.0,0.154,4258.0,0.555,2.7196099165628786,0.6965168507329984,0.6176241164303128,0.6558853592761408
HD 125612 b,13.2,945.22168242,253.38,1.349,5900.0,1.07,2.2657931329940024,0.4284862024364068,0.9823480749087011,0.6487854777107331
HD 4732 c,13.1,1069.49258955,243.69,4.725,4898.0,5.03,2.6228428320707735,0.45329469790239296,0.8798460843993423,0.6315295440661531
Kepler-249 d,1.57,3.09,332.0,0.097,3568.0,0.482,4.402181016953257,0.8738269723047345,0.45629002809066954,0.6314416313004014
K2-312 c,12.8,1681.31227303,229.0,1.882,5959.0,1.199,4.420046606817121,0.5418929269544758,0.7348390876377338,0.6310341544168335
GJ 625 b,1.49,2.82,335.59,0.078361,3499.0,0.31,4.7000088703971095,0.8988176688759373,0.4410270276386581,0.6296053405852449
Kepler-1143 c,3.6,12.6,234.0,0.6477,5053.0,0.77,1.488920184032548,0.4992904000079395,0.782759642542407,0.6251594796810412
HD 106270 b,12.4,3623.2438398,237.07,3.34,5509.0,2.66,10.47709499188956,0.4765616844309183,0.8129217918785698,0.6224205800327072
