pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
HD 80653 b,1.621,5.61,2438.0,0.01657,5959.0,1.199
K2-312 c,12.8,1681.31227303,229.0,1.882,5959.0,1.199
XO-2 S d,13.0,1179.14338997,110.98,5.46,5325.0,1.02
Kepler-1808 b,3.02511302,9.4,601.0,0.1467,5530.0,0.892
Kepler-418 b,13.45,349.6112477,434.0,0.39249,5820.0,1.09
Kepler-249 d,1.57,3.09,332.0,0.097,3568.0,0.482
OGLE-2017-BLG-0364L b,10.3,75.8,,3.79,,
Kepler-1408 b,0.89,0.64,1616.0,0.04218,6170.0,1.35
HR 8799 b,13.0,2000.0,1200.0,68.0,7204.58,1.49338
Kepler-500 b,2.58,7.18,909.0,0.08361,5813.0,1.03
CoRoT-17 b,11.43,772.29,1626.0,0.0461,5740.0,1.59
OGLE-2017-BLG-0373L b,14.0,127.0,,2.424,,
CoRoT-7 d,4.31,17.142,,,5250.0,0.8389
Kepler-1685 b,2.57673985,7.16,625.0,0.1485,5484.0,0.835451
Kepler-296 b,1.61,3.22,495.0,0.079,3740.0,0.48
TOI-1744.01,2.68,7.65,598.0,0.164086,6179.0,1.14
KMT-2021-BLG-1547L b,13.6,467.20775829,,4.5,,
TOI-4377 b,15.10970598,304.1617855,1162.08,0.0579,4974.0,3.52
HD 64114 b,4.41,17.8,518.51,0.246,5676.0,0.882858
TOI-858 B b,14.06727078,349.6112477,1529.0,0.04435,5842.0,1.308
HD 27969 b,12.9,1525.5763536,261.0,1.552,5966.0,1.27
Kepler-1947 b,1.0101666,1.01,1298.0,0.07375,6040.0,1.686
Kepler-81 d,1.21,1.92,418.0,0.128,4500.0,0.595
Kepler-900 b,2.08,4.98,716.0,0.0679,4836.0,0.73
TOI-1296 b,14.11645916,95.3,1414.84,0.051,5567.0,1.7031
HD 24040 b,12.9,1589.142035,143.81,4.92,5802.0,1.3
Kepler-638 b,1.83,4.01,1111.0,0.06695,5382.0,0.93
Kepler-375 b,1.45,2.7,851.0,0.101,5826.0,0.837
Kepler-1590 b,1.14,1.55,1020.0,0.07116,6053.0,1.16
Kepler-666 b,2.4,6.35,1133.0,0.0542,5887.0,1.05
Kepler-586 b,2.79,8.2,1365.0,0.0331,5575.0,0.92
HD 180053 b,13.3,697.31902,542.98,0.843,5131.0,4.06
Kepler-1827 b,1.85644292,4.1,1329.0,0.04647,5423.0,1.404
Kepler-83 b,2.83,2.94,460.0,0.07295,4082.0,0.61
TOI-1410 c,5.63,27.0,397.45,0.239,4635.0,0.7558
Kepler-578 b,2.0,4.66,1774.0,0.0266,5334.0,0.83
TOI-3807 b,18.49481816,330.54154328,1646.0,0.0421,5772.0,1.468
K2-392 b,1.85,4.08,,,5726.0,1.058
UKIRT-2017-BLG-001L b,13.7,407.0,,4.18,,
Kepler-239 b,2.33,6.04,616.0,0.095,4914.0,0.763
Kepler-1812 b,2.3249424,6.01,1034.0,0.0765,6174.0,1.103
HD 191939 c,3.195,8.0,600.0,0.1752,5348.0,0.94
Kepler-931 b,1.33,2.33,744.0,0.0719,5241.0,0.81
Kepler-501 c,1.68119739,3.47,1304.0,0.0467,5794.0,1.216
TIC 38825265 b,2.18869476,5.43,,,4375.52,0.664503
Kepler-1664 b,3.03320653,9.45,776.0,0.1137,5735.81,1.072
WASP-105 b,10.76064,572.094,900.0,0.075,5070.0,0.9
Kepler-58 b,2.78,35.5,920.0,0.09291,5843.0,1.03
GJ 887 b,1.8,3.9,426.0,0.0683,3688.0,0.468
TOI-1759 b,3.14,10.8,443.0,0.1177,4065.0,0.597
HIP 70849 b,12.9,1430.2278315,78.85,3.99,4105.0,0.633112
KOI-142 b,3.438,9.5,758.0,0.09586,5466.0,0.897
Barnard c,0.743,0.335,400.0,0.0274,3195.0,0.185
HATS-62 b,11.825495,56.89157,1237.0,0.04163,5416.0,0.933
Kepler-1350 c,1.73,3.64,730.0,0.0222,3827.0,0.53
TOI-1410.01,3.10083009,12.5,1236.7,0.0207,4635.0,0.7558
TOI-5110 b,11.98240037,921.7023803,976.0,0.2157,6160.0,2.333
GJ 229 A c,2.87,8.58136699,188.1,0.384,3564.0,0.46
Kepler-341 c,1.7,3.53,940.0,0.08,6012.0,1.024
TOI-791 c,12.94637271,18.6,362.8,0.863,6294.0,1.474
Kepler-590 b,4.02,15.2,1056.0,0.0647,6000.0,1.15
HD 180902 b,13.5,535.54355,412.37,1.4,4961.0,4.16
Qatar-7 b,19.0553,597.5204,2053.0,0.0352,6387.0,1.564
TOI-5624 e,3.247,8.9,613.8,0.1439,5327.0,0.82
Kepler-764 b,1.64,3.33,875.0,0.0724,5557.0,0.89
TOI-7166 b,2.01,4.7,249.0,0.06191,3099.0,0.222
TOI-6695 b,9.52763359,66.74396547,599.0,0.402,6400.0,1.517
GJ 3998 b,1.39,2.5,733.5,0.03,3726.0,0.5
Kepler-656 b,3.12,9.91,1569.0,0.02231,5281.0,0.82
KIC 8540376 c,2.4,6.35,,,6474.0,1.26
Kepler-751 b,2.46,6.62,679.0,0.1263,5387.0,0.84
Kepler-276 d,2.8,16.3,489.0,0.24666,5693.0,1.03
WASP-37 b,13.002,572.07,1232.5,0.0446,5800.0,1.003
TOI-1203 e,7.31,42.1,,,5737.0,1.179
Kepler-122 f,1.75,36.0,543.0,0.28575,5917.0,0.949
OGLE-2016-BLG-0263L b,13.0,1300.0,,5.4,,
Kepler-397 c,6.18,31.6,295.0,0.48,5307.0,0.767
Kepler-1503 b,2.27,5.77,321.0,0.3771,5069.0,0.74
TOI-1776 b,1.21612741,1.4,1269.21,0.0378,5785.0,0.9356
Kepler-1781 b,2.38091029,6.26,1003.0,0.0574,5568.0,0.957
HAT-P-40 b,17.03768,152.5584,1770.0,0.0608,6080.0,1.94
HD 81688 b,13.5,525.68818518,958.66,0.648,4797.0,11.13
K2-19 d,1.044,6.2,1258.0,0.03478,5350.0,0.824
